label,message
spam,"Earn quick money from home! Join our amazing work-from-home program now!"
spam,"Get your essays done by professionals, no more academic stress! Click this link to get started."
spam,"Cheap online courses with guaranteed A+ grades! Limited time offer!"
spam,"Lose weight effortlessly with this magic pill! Order now and see the pounds melt away."
spam,"Congratulations, you've won a free iPhone! Just enter your details here."
spam,"Boost your GPA instantly! Buy cheat sheets and ace your exams without studying."
spam,"Looking for a part-time job? Check out our exclusive student offers!"
spam,"Win a $1000 gift card for sharing this post with your friends!"
spam,"Get your diploma without attending classes! Accredited degrees for sale."
spam,"Spice up your student life with these wild parties! Join our exclusive group now."
ham,"Can anyone recommend a good book for summer reading?"
ham,"Need advice on managing academic workload and extracurriculars."
ham,"Discussing the impact of social media on student life."
ham,"Looking for a study group for the upcoming math exam."
ham,"Reminder: The deadline for submitting the research paper is next week."
ham,"How do you balance your academic and personal life?"
ham,"Sharing some tips to stay focused and productive while studying."
ham,"Is anyone taking the 'History of Art' course? I'd love to hear your thoughts."
ham,"Looking for recommendations on good online learning platforms."
ham,"Discussing the workload for the physics course. Any insights?"
spam,"alsdkfjakdjf"
spam,"asldkfjalsdkfj"
spam,"20923"
